"l","m","n","a","omega1"
2,0,0,0.4,"-0.0031324036454934314986252875751614019763250778651013487743836992265407 + 0.0015205126356642380377589223784670823215877137576597269655507577057294i"
2,0,0,0.45,"-0.0038374603649687642222697313410496680318653266018191597307577531937485 + 0.0019800361173534230911692922083184489695385434405670640691715423346199i"
2,0,0,0.5,"-0.0045429752050228976136872467974147519686033260286331957391713389241998 + 0.0025296239241394640992270443084007575567418244633025772413614391194842i"
2,0,0,0.55,"-0.0052039944752277782456651545893216294723418155566110893907098916904385 + 0.0031891299252886398543133518853657268009299804056970030432323047883652i"
2,0,0,0.6,"-0.005757060348189745046729502959721199531261256620356105656701459553455 + 0.0039871009233254827710564040048141767444390814720914601747401992170896i"
2,0,0,0.65,"-0.00611110196338369097052199059863124725540408841857527674322961726697 + 0.0049656040385918752700084229837152935357554537638688875532652446963006i"
2,0,0,0.7,"-0.006132563047269470082875262209229580661984589304804175008297356866107 + 0.006188563839286533485457857383550033575751897735041417454945473454221i"
2,0,0,0.75,"-0.005619970675284785054803316964893761992458925065550001265250240233788 + 0.007756962307516789424670779646049689284699365062827592234671769226155i"
2,0,0,0.8,"-0.004257809114326690680148982317629138118936027761187286905762975546434 + 0.009838542830439702638786694953502351575047000810198080755668260889753i"
2,0,0,0.85,"-0.001526094925004452535183948836425469174696920638138610526634584532693 + 0.01273136301991511138824671036921868045894659263691590318048497063017i"
2,0,0,0.9,"0.003497827267402077583477462966777224438394427141389335066887635024412 + 0.017017070298971933857004450483787419075939376749794850198630860776841i"
2,0,0,0.91,"0.004912405036469281633153616079185810885091521042275889341529900538735 + 0.018133187456632242375957786128645546960099981335447306044260647595243i"
2,0,0,0.92,"0.006507584672639835736082750402790277702300398985927712703463949750291 + 0.019367273804409746675879919080046946656543659751822596682100290417714i"
2,0,0,0.93,"0.008309846134964865694334761454435414139821323692929068845456123801393 + 0.020738860145428361928065095495522913117661468204467523681217170856682i"
2,0,0,0.94,"0.01035182251512140381306540924017715047949023387452169102217714921396 + 0.02227208731780187066325360474321665480838658718989591712373701797345i"
2,0,0,0.95,"0.01267489240586567024498423484642021185926431854722883795230812938252 + 0.02399730511604164028419088001971365410972858969143688085848561816032i"
2,0,0,0.96,"0.01533367745283482854623847186752702776646205721816796824447232185548 + 0.02595362865559766794093508821446370061868446382743297238946419895009i"
