"l","m","n","a","omega1"
2,0,0,0.15,"-0.000477757342088514129851132807954604030650234989503752819906091162534 + 0.00019731903038531730277559536938380165218860127990957611903587397851i"
2,0,0,0.2,"-0.000842022539506485871445701808037061306300984787603624294964228723642 + 0.000354072485182985579807863911310507092413611615366142279235967787432i"
2,0,0,0.25,"-0.001300262312941548619711050743093973679793184233787850236836179370036 + 0.000560108618838099635392064284147955664673219894418840762747084335488i"
2,0,0,0.3,"-0.00184368897619492075344824303687861969495909850508068501787223907431 + 0.00081929168073716511648272166755535912211456713230888848919792128241i"
2,0,0,0.35,"-0.002460042989155055045292972826021751307420182260283009503336036714028 + 0.001136974495053153832157720154325958204672384116397332571514588468428i"
2,0,0,0.4,"-0.003132403645493431498530635390119588592220268620614783184688394359455 + 0.001520512635664238037654077109892490008529674218602348623678289548934i"
2,0,0,0.45,"-0.003837460364968764222291564423049417073441005323613341482372776743056 + 0.001980036117353423090902554487444050056929189330142657238031432722102i"
2,0,0,0.5,"-0.004542975205022897614147510575722227957119424041574896711353417500716 + 0.002529623924139464098958408234191870054995489347307279539154871185167i"
2,0,0,0.55,"-0.00520399447522777824660183771643683676366485639208044969355508620345 + 0.003189129925288639854955127919293455484467922398980987752120084711511i"
2,0,0,0.6,"-0.005757060348189745045800143631363229028996033730417178058327413243599 + 0.003987100923325482773531777209229818304705841219892577927422045965874i"
2,0,0,0.65,"-0.00611110196338369096405354011428695468366607836370284350793904120765 + 0.00496560403859187526754764789571908381477532186274059968138365323912i"
2,0,0,0.7,"-0.00613256304726947009621534695145031733995332273953353185124474284561 + 0.00618856383928653346894973398111107093208951068746753960065996982199i"
2,0,0,0.75,"-0.00561997067528478506837786770338184068283985942483222641035183960707 + 0.00775696230751678950462629655579636497699891983795203773435615256876i"
2,0,0,0.8,"-0.0042578091143266904981546911135495846529066081496292241725475158836 + 0.00983854283043970225712279339843133667056940800358224203983579277007i"
2,0,0,0.85,"-0.00152609492500445203106142303805546384737727078970221630685789274533 + 0.01273136301991511500677766525154253050001262876279832003967694302111i"
2,0,0,0.9,"0.00349782726740201613770399229623996170852726883866149725057997861956 + 0.01701707029897197945948447099104843087838416589199704731197805872186i"
2,0,0,0.91,"0.00491240503646934509280066604334725700432962875549989107448481394775 + 0.01813318745663239459278062807484554120369520158896270924353708563789i"
2,0,0,0.92,"0.0065075846726402069884686807856776861356464101711928374582415207579 + 0.01936727380440961998937792739980321240237385614381160309210242343885i"
2,0,0,0.93,"0.0083098461349644347148150080001307686625492096753242368477133294379 + 0.020738860145427362249892430640575417197823403026967342217108597503i"
2,0,0,0.94,"0.0103518225151189522635609709192799421478851484583204439932035957777 + 0.0222720873178038972499485932801319959809576903817079453566263431803i"
2,0,0,0.95,"0.0126748924058781124233222505707828000719491971040698444727120140812 + 0.023997305116044049252255839098425763266012370774384382086911802249i"
2,0,0,0.96,"0.0153336774527969303270815941402139058209896848605535881978665980029 + 0.0259536286555614949430718170738949071025196259244321574717706964536i"
2,0,0,0.97,"0.018404615227671864355920381355857633109297563128340619063827234585 + 0.0281935012958297398950157216381748134669757530604089401724823005129i"
